record id,contact id,meeting id,host,contact name,from,meeting type,meeting category,mobile number,phone number,contact number
zcrm_315763513057873061,zcrm_695697029103101016,zcrm_874494243165731393,Pat Johnson,Jane Brown,unknown,Follow-up,,###-###-####,###-###-####,1234567890
zcrm_643981564089527323,zcrm_901445945616057907,zcrm_502384634422316768,John Garcia,Sam Doe,,Follow-up,Onboarding,+1 123 456 7890,1234567890,###-###-####
zcrm_264708385431801009,zcrm_783199643340484829,zcrm_952215777049154029,Alex Martinez,Jane Martinez,,Follow-up,Support,123-456-7890,,+1 123 456 7890
zcrm_140744529485059680,zcrm_523106405902508735,zcrm_000165323902120351,Sam Brown,Jordan Smith,contact@domain,In-person,Internal,+1 123 456 7890,(123) 456-7890,+1 123 456 7890
zcrm_985085810505444258,zcrm_724649135287960974,zcrm_897705582695970363,,Taylor Kim,unknown,Video Conference,Sales,1234567890,N/A,
zcrm_900392936015975989,zcrm_857741141382972351,zcrm_400900722896819337,Jordan Kim,Jordan Garcia,,In-person,Onboarding,N/A,1234567890,
zcrm_769092869135279334,zcrm_747258891168379076,zcrm_760224602104669615,Chris Martinez,Alex Kim,unknown,Chat,Support,###-###-####,,1234567890
zcrm_910762011895839368,zcrm_429925545624601214,zcrm_233487215049796288,Jordan Smith,Jordan Johnson,contact@domain,Video Conference,Internal,123-456-7890,(123) 456-7890,
zcrm_752161301958199162,zcrm_254583156939959145,zcrm_684240153457015546,Chris Brown,Chris Martinez,system@crm.com,Video Conference,Onboarding,,1234567890,###-###-####
zcrm_914549658835574408,zcrm_886905481116574303,zcrm_977701016697693712,Chris Martinez,Alex Brown,user@email.com,Online,Support,(123) 456-7890,###-###-####,
zcrm_671488078247570117,zcrm_009542887958653670,zcrm_204294552918676813,John Doe,Chris Brown,,Online,Internal,123-456-7890,+1 123 456 7890,(123) 456-7890
zcrm_959681938966089142,zcrm_140321898431306229,zcrm_606305218526697672,Chris Smith,Sam Martinez,contact@domain,Online,,1234567890,###-###-####,+1 123 456 7890
zcrm_807925855574390473,zcrm_808913256703685743,zcrm_365069808742208966,Jordan Kim,Alex Martinez,contact@domain,Chat,Internal,###-###-####,###-###-####,
zcrm_154754042525227406,zcrm_680783489646820693,zcrm_070192989177014267,Sam Johnson,John Garcia, ,Phone Call,Internal,(123) 456-7890,,123-456-7890
zcrm_903124392914424003,zcrm_357841929421940158,zcrm_383687791613949959,John Lee,Alex Martinez, ,Video Conference,Onboarding,+1 123 456 7890,###-###-####,(123) 456-7890
zcrm_424999790121633869,zcrm_372659329254626882,zcrm_117988307783098843,Chris Smith,Jane Doe,,Chat,Support,###-###-####,,
zcrm_225032472616787061,zcrm_495711472606751376,zcrm_125232099778967955,Jordan Johnson,Pat Martinez,user@email.com, ,Onboarding,,123-456-7890,###-###-####
zcrm_166555920576618214,zcrm_454522610676399052,zcrm_590140688953047656,Taylor Johnson,Jane Lee, ,Follow-up,Support,N/A,,1234567890
zcrm_745376180447398898,zcrm_312901801572154939,zcrm_103320317642588499,Jordan Kim,John Garcia,contact@domain,In-person,Support,(123) 456-7890,,123-456-7890
zcrm_945607783339228421,zcrm_547550688093529925,zcrm_475122701785778848,Taylor Johnson,Sam Johnson,user@email.com,In-person,,123-456-7890,N/A,
zcrm_434849634056318130,zcrm_304378747829052700,zcrm_551576905099939163,Sam Brown,Chris Garcia,,Video Conference,Internal,123-456-7890,###-###-####,123-456-7890
zcrm_692571218523448741,zcrm_840626468355759921,zcrm_128469896014464651,John Garcia,Chris Johnson,contact@domain, ,Support,###-###-####,+1 123 456 7890,1234567890
zcrm_840386068691035556,zcrm_253826748911887521,zcrm_440111505165860512,Jordan Lee,John Smith,unknown,Follow-up,Review,+1 123 456 7890,,+1 123 456 7890
zcrm_416707081412454170,zcrm_805074391746542041,zcrm_808488080462088189,Taylor Smith,Alex Lee,user@email.com, ,Client,###-###-####,123-456-7890,+1 123 456 7890
zcrm_420195238590375736,zcrm_981114071399714579,zcrm_108528047651170370,Pat Garcia,Sam Smith,unknown,Online,Internal,123-456-7890,###-###-####,N/A
zcrm_458466022594323145,zcrm_986433223301603275,zcrm_977039763856277561,John Martinez,Chris Garcia,system@crm.com,Video Conference,Client,###-###-####,+1 123 456 7890,###-###-####
zcrm_690937063622884342,zcrm_305476709058773302,zcrm_397265498119424878,Alex Garcia,Jordan Smith,contact@domain,Follow-up,Onboarding,N/A,(123) 456-7890,1234567890
zcrm_379502676442243260,zcrm_598233279821699503,zcrm_781763603260374635,Alex Kim,John Garcia,unknown,Video Conference,,###-###-####,,N/A
